;title;job_link;days;price;average_bid;bid;payment_verified;description;job_tag
0;BetWinner Tanzanian Influencer Campaign;/projects/internet-marketing/betwinner-tanzanian-influencer-campaign;6 days left;$250 - $750;False;0 bids;False;"I’m ready to onboard Tanzanian–based influencers or agencies who can drive new registrations and betting activity for BetWinner through Instagram and Facebook. Whether your audience leans toward sports, lifestyle, or entertainment, what matters most is your proven ability to spark real engagement.

Here’s what the collaboration looks like:

• Deliverables – three Instagram Stories or Facebook Reels (or a mix) that feature the tracking link and our unique promo-code. I’ll supply the scripts, key messages, and creatives; you bring the personality and reach.  
• Timeline – once we approve your draft content, you can publish right away.  
• Payment – 50 % in USDT (TRC20 or ERC20) after draft approval, and the remaining 50 % immediately a...";['Content Creation', 'Facebook Marketing', 'Influencer Marketing', 'Instagram Marketing', 'Internet Marketing', 'Social Media Management', 'Social Media Marketing', 'Twitter']
1;Bulk WordPress Product Upload;/projects/woocommerce/bulk-wordpress-product-upload;6 days left;$17 - $142;False;0 bids;True;"I need 250 new items added to my WooCommerce-powered WordPress site. All images are organised and ready to go, and every product already has a written description that only needs light formatting—think paragraph breaks or the occasional bold heading so it reads cleanly on the product page. Every item is a single, standard product with no size, colour, or other variations to worry about.

Your job is to get these listings live quickly and accurately, using whichever method you prefer (CSV import, WP All Import, or manual entry). Just make sure each product ends up with its correctly formatted text, assigned image, price, SKU, and category.

Deliverables  
• 250 products published and visible on the front end  
• Descriptions tidied and formatted for easy reading  
• Ima...";['Data Entry', 'Excel', 'PHP', 'Product Management', 'Web Development', 'Website Management', 'WooCommerce', 'WordPress']
2;Android Entertainment App Development;/projects/android-app-development/android-entertainment-app-development-39914879;6 days left;$440Avg Bid;True;23 bids;False;"I’m ready to turn a simple idea into a lively Android-only entertainment app and need a skilled developer to make it happen—from first line of code right through to a Google Play-ready build.

What I have  
• A clear concept and user journey  
• Basic sketches of the screens  
• Prompt feedback cycles so decisions never stall

What you’ll bring  
You’ll set up the Android Studio project (Java or Kotlin is fine), craft a clean, fun UI that keeps users tapping, wire up the core entertainment features we’ll discuss in detail once NDA is signed, and hand over source code plus a signed APK/AAB. Smooth performance on devices running Android 10 and above is essential; crash-free is non-negotiable.

Milestones & deliverables  
1. Skeleton app with n...";['Analytics', 'Android', 'Android App Development', 'Android Studio', 'iPhone', 'Java', 'Kotlin', 'Mobile App Development']
3;React Native Chat Sprint;/projects/react-native/react-native-chat-sprint;6 days left;$81Avg Bid;True;14 bids;True;"I have a React Native social-media app scaffolded and running; what I still need is a solid social media experience and I want to get the first iteration wrapped up in about a week.

Scope for this sprint  
• Real-time one-to-one chat that pushes new messages instantly  
• Group conversations with basic member management  
• Image / video sharing with local preview and upload progress  
• Full respect of the existing email-and-password authentication flow

The rest of the app navigation is already wired, so you’ll be concentrating on the chat screens, message storage and any server or cloud rules those pieces require. TypeScript is preferred, but plain JavaScript is fine if it keeps velocity high. Feel free to suggest your favourite real-time backend (Firebase, Su...";['Agile Development', 'API Development', 'Backend Development', 'iPhone', 'JavaScript', 'Mobile App Development', 'PhoneGap', 'React Native', 'Software Documentation', 'Video Upload']
4;Architectural PDF to AutoCAD DWG;/projects/2d-drafting/architectural-pdf-autocad-dwg;6 days left;$13Avg Bid;True;4 bids;True;"Five architectural PDFs—or fewer—have to be re-created as clean, scalable 2D DWG files. The source sheets are raster-based; I need each one traced accurately so that walls, openings, dimensions, and text sit on clearly named layers that follow standard architectural conventions. Because the drawings will feed into concept design, only the basic structure and layout are required; furniture or highly detailed symbols can be skipped.

Accuracy at true scale is critical. Please keep line weights consistent, convert all visible text to editable MTEXT, and preserve the original sheet size and orientation. I work in AutoCAD 2020, so the files must open natively without proxy warnings.

Deliverables:  
• One DWG per PDF, fully layered and purged  
• An overall layer list (sim...";['2D Drafting', '2D Drawing', '2D Layout', 'Architecture', 'AutoCAD', 'Drafting']
5;Borderlands 2 Gear & Weapon Mod;/projects/game-art/borderlands-gear-weapon-mod;23 hours left;$13Avg Bid;True;15 bids;True;"I’d like my Borderlands 2 save on PlayStation tweaked so every piece of gear and each weapon slot is stocked with the exact items I want. Nothing else about the game needs touching—just the equipment.

You’ll need to pull the existing save (or provide clear instructions so I can), inject the requested weapons and gear using a reliable PS-friendly editor such as Gibbed or a comparable tool, then send the file back ready to copy to my console.

Deliverable  
• One PlayStation-compatible Borderlands 2 save that loads without errors and shows the precise weapons and gear we agree on.  

I’ll confirm everything boots correctly and the items appear as specified before releasing the milestone. If you’ve handled PlayStation save mods before, this should be quick ...";['Game Art', 'Game Design', 'Game Development', 'Game Testing', 'Game UI']
6;Modern Indian-Inspired Casual Wear;/projects/textile-design/modern-indian-inspired-casual-wear;6 days left;$14 / hrAvg Bid;True;26 bids;False;"I’m building a casual wear line that feels unmistakably modern yet carries the artistry of India at its core. Your task is to translate traditional patterns, iconic textiles and fabrics, and thoughtful embroidery and embellishments—plus any Drawing inspo for sarees / lenghas etc—into fresh, everyday pieces that people can pull from their wardrobe without a second thought.

What I’m after
• 2–4 complete outfit concepts (tops, bottoms, or layered sets) suitable for daily wear  
• Clear sketches or digital illustrations showing front and back views  
• A brief note on fabrics, prints, and embellishment placement so I can visualize production feasibility  
• A concise explanation of how each look draws on Indian heritage while staying relaxed a...";['Caricature & Cartoons', 'Concept Design', 'Embroidery', 'Fashion Consulting', 'Fashion Design', 'Illustration', 'Pattern Design', 'Textile Design']
7;Simple Shopify Store Rebuild;/projects/shopify-development/simple-shopify-store-rebuild;6 days left;$423Avg Bid;True;133 bids;True;"Need this done by Tuesday IST. Will NOT pay more than $105 USD. Do not quote more. this is a simple recreation based on an exisitng website; we have paid others this amout before - just need someone to do a good, quick job.

I need my current website rebuilt in Shopify using a clean 3- to 4-page layout. The goal is to start selling physical products quickly, so I only want the essentials brought across—no sprawling catalog or complex integrations at this stage.

Scope
• Re-create the look and feel of my existing site on a Shopify theme that is fast, responsive, and easy for me to update later.  
• Set up core pages: Home, Product (with buy-now capability), About, and Contact.  
• Configure basic collections, shipping zones, taxes, and payment gateway so the store can a...";['CSS', 'eCommerce', 'HTML', 'Shopify', 'Shopify Development', 'Web Design', 'Web Development', 'Website Design']
8;Hindi/Urdu Rock Song Producer;/projects/music-production/hindi-urdu-rock-song-producer;6 days left;$17 - $142;False;0 bids;True;"I have a Hindi/Urdu rock track taking shape and I’m still at the songwriting stage. I need a producer who can pick up a guitar (or has a reliable guitarist on hand) to sketch out riffs, chord progressions, and basic arrangements while we shape the song together.

Here’s what I’m looking for:
• Guitar- or piano-based melodic ideas that capture an energetic rock feel.  
• Collaboration on the lyrics— I already have concepts and phrases, but I need a creative partner to refine them into solid Hindi/Urdu verses and hooks.  
• A simple scratch demo (guitar or piano plus vocal guide) so I can hear how everything sits before we move further.

If you’re comfortable producing rock, speak (or write) fluent Hindi/Urdu, and enjoy co-writing lyrics, let&rsqu...";['Audio Production', 'Audio Services', 'Creative Writing', 'Hindi Translator', 'Music', 'Music Production']
9;Intricate South Indian Temple CAD Models;/projects/3d-cad/intricate-south-indian-temple-cad;6 days left;$10 / hrAvg Bid;True;2 bids;False;"I have a series of reference images of South Indian temple gopurams and need each one transformed into a high-fidelity 3D CAD model ready for both architectural visualization and eventual mass 3D printing. The focus is on highly intricate details—ornate carvings, tiered towers, miniature sculptures, and proportional accuracy must all be faithfully captured.

The scope covers a set of specific temples I will share once we start. I’m looking for someone who can interpret photographic references, extract precise measurements where possible, and deliver clean, watertight geometry that holds up when zoomed in for close-up renders as well as when scaled down for print.

Key expectations:
• End-to-end modeling—from blocking out forms to the final detailed pass on ornaments,...";['3D CAD', '3D Design', '3D Layout', '3D Modelling', '3D Printing', '3ds Max', 'Architectural Visualization', 'Blender', 'CAD/CAM', 'Solidworks']
